Year,Ireland,Belgium,France,Year2
1977m01,14.62,18.57,16.76,Jan-77
1977m02,15.05,18.13,16.55,Feb-77
1977m03,14.12,16.79,16.34,Mar-77
1977m04,14.19,16.95,15.97,Apr-77
1977m05,14.61,17.32,15.15,May-77
1977m06,15.03,17.18,15.10,Jun-77
1977m07,15.01,16.76,15.07,Jul-77
1977m08,15.44,17.24,15.17,Aug-77
1977m09,16.53,17.88,15.81,Sep-77
1977m10,17.30,18.90,16.83,Oct-77
1977m11,18.70,20.03,17.41,Nov-77
1977m12,18.44,20.01,17.46,Dec-77
1978m01,18.31,19.64,17.29,Jan-78
1978m02,17.15,19.82,16.75,Feb-78
1978m03,15.74,18.86,16.88,Mar-78
1978m04,14.68,17.92,16.99,Apr-78
1978m05,15.27,17.69,16.04,May-78
1978m06,15.82,17.84,16.22,Jun-78
1978m07,16.38,17.68,16.36,Jul-78
1978m08,16.76,17.73,16.76,Aug-78
1978m09,17.59,18.59,17.29,Sep-78
1978m10,17.90,19.98,18.16,Oct-78
1978m11,19.15,21.16,18.88,Nov-78
1978m12,19.63,21.29,19.36,Dec-78
1979m01,18.75,20.94,19.52,Jan-79
1979m02,17.82,20.57,18.99,Feb-79
1979m03,17.27,19.33,18.66,Mar-79
1979m04,16.49,17.79,18.38,Apr-79
1979m05,16.24,17.75,17.24,May-79
1979m06,16.16,17.56,16.95,Jun-79
1979m07,16.23,17.48,16.75,Jul-79
1979m08,16.62,17.73,17.29,Aug-79
1979m09,17.39,18.57,18.11,Sep-79
1979m10,18.30,19.92,19.32,Oct-79
1979m11,19.29,21.33,20.11,Nov-79
1979m12,19.06,20.72,20.67,Dec-79
1980m01,18.31,20.33,20.47,Jan-80
1980m02,17.37,19.77,20.50,Feb-80
1980m03,16.29,18.76,20.27,Mar-80
1980m04,15.67,17.70,19.53,Apr-80
1980m05,15.57,17.80,18.37,May-80
1980m06,15.78,18.18,18.25,Jun-80
1980m07,16.10,18.37,18.51,Jul-80
1980m08,16.46,18.20,18.94,Aug-80
1980m09,17.55,18.84,19.66,Sep-80
1980m10,18.58,20.10,20.82,Oct-80
1980m11,19.69,21.25,21.35,Nov-80
1980m12,19.93,20.84,21.79,Dec-80
1981m01,19.48,20.20,21.64,Jan-81
1981m02,17.94,19.82,21.30,Feb-81
1981m03,16.94,18.58,21.05,Mar-81
1981m04,17.27,19.21,20.05,Apr-81
1981m05,17.45,19.34,19.47,May-81
1981m06,17.72,19.12,19.35,Jun-81
1981m07,17.82,19.16,19.56,Jul-81
1981m08,18.19,18.98,20.17,Aug-81
1981m09,20.14,20.29,21.32,Sep-81
1981m10,21.27,22.54,21.75,Oct-81
1981m11,22.77,23.28,22.89,Nov-81
1981m12,22.92,22.62,23.37,Dec-81
1982m01,22.55,22.16,23.20,Jan-82
1982m02,20.70,21.28,22.91,Feb-82
1982m03,19.10,19.08,22.67,Mar-82
1982m04,17.70,18.91,21.99,Apr-82
1982m05,18.27,18.81,21.20,May-82
1982m06,19.60,20.12,22.96,Jun-82
1982m07,20.11,20.78,20.25,Jul-82
1982m08,20.52,20.90,21.21,Aug-82
1982m09,21.90,22.00,21.53,Sep-82
1982m10,22.92,23.64,22.99,Oct-82
1982m11,24.40,25.04,23.97,Nov-82
1982m12,24.41,24.72,24.73,Dec-82
1983m01,24.82,24.18,24.88,Jan-83
1983m02,23.26,24.14,24.96,Feb-83
1983m03,20.98,22.39,24.13,Mar-83
1983m04,19.27,21.37,22.71,Apr-83
1983m05,19.13,21.49,20.87,May-83
1983m06,20.35,21.22,21.56,Jun-83
1983m07,20.48,21.21,21.68,Jul-83
1983m08,20.99,21.67,22.04,Aug-83
1983m09,22.48,22.51,23.32,Sep-83
1983m10,23.59,24.31,24.49,Oct-83
1983m11,24.99,25.80,25.33,Nov-83
1983m12,24.85,25.44,26.30,Dec-83
1984m01,25.14,23.88,25.24,Jan-84
1984m02,23.22,23.70,25.09,Feb-84
1984m03,21.37,23.35,24.74,Mar-84
1984m04,19.87,21.20,23.87,Apr-84
1984m05,19.81,22.04,21.14,May-84
1984m06,19.99,22.02,21.30,Jun-84
1984m07,20.08,21.89,21.45,Jul-84
1984m08,20.61,21.98,21.93,Aug-84
1984m09,22.19,23.08,23.12,Sep-84
1984m10,23.34,24.99,24.63,Oct-84
1984m11,24.81,26.26,25.36,Nov-84
1984m12,24.83,26.11,26.13,Dec-84
1985m01,25.57,25.63,26.32,Jan-85
1985m02,23.66,25.29,26.46,Feb-85
1985m03,21.99,22.81,25.68,Mar-85
1985m04,20.95,22.30,24.60,Apr-85
1985m05,21.07,22.89,22.55,May-85
1985m06,21.57,22.46,22.60,Jun-85
1985m07,21.68,22.32,22.51,Jul-85
1985m08,22.26,22.73,22.92,Aug-85
1985m09,23.34,23.27,24.33,Sep-85
1985m10,23.94,24.94,25.98,Oct-85
1985m11,25.32,27.83,26.83,Nov-85
1985m12,25.39,27.41,28.16,Dec-85
1986m01,26.31,26.62,28.02,Jan-86
1986m02,24.73,26.88,27.86,Feb-86
1986m03,22.83,25.11,27.41,Mar-86
1986m04,21.84,23.60,25.52,Apr-86
1986m05,21.98,23.54,23.44,May-86
1986m06,22.06,23.52,23.14,Jun-86
1986m07,22.03,22.95,22.94,Jul-86
1986m08,21.27,23.66,23.26,Aug-86
1986m09,22.31,25.59,24.55,Sep-86
1986m10,23.46,27.77,26.70,Oct-86
1986m11,24.64,29.47,27.26,Nov-86
1986m12,24.57,28.35,27.99,Dec-86
1987m01,25.11,28.39,27.69,Jan-87
1987m02,23.43,27.97,27.52,Feb-87
1987m03,21.62,26.01,26.56,Mar-87
1987m04,20.71,24.25,25.16,Apr-87
1987m05,20.64,24.51,22.92,May-87
1987m06,20.81,23.90,22.88,Jun-87
1987m07,21.45,23.67,22.96,Jul-87
1987m08,21.80,23.94,23.50,Aug-87
1987m09,23.03,26.02,24.95,Sep-87
1987m10,23.95,28.95,26.35,Oct-87
1987m11,24.57,30.30,27.39,Nov-87
1987m12,24.70,29.87,27.85,Dec-87
1988m01,25.38,28.23,27.95,Jan-88
1988m02,24.12,28.08,27.07,Feb-88
1988m03,23.22,26.34,26.26,Mar-88
1988m04,22.77,25.48,24.93,Apr-88
1988m05,23.01,25.48,22.90,May-88
1988m06,23.65,24.97,22.88,Jun-88
1988m07,24.09,25.23,23.03,Jul-88
1988m08,24.82,25.93,23.83,Aug-88
1988m09,26.90,28.78,25.44,Sep-88
1988m10,27.78,27.96,27.09,Oct-88
1988m11,28.14,33.35,28.01,Nov-88
1988m12,28.55,32.78,28.55,Dec-88
1989m01,28.29,31.66,28.32,Jan-89
1989m02,27.18,31.66,27.62,Feb-89
1989m03,26.58,29.18,27.04,Mar-89
1989m04,26.21,28.88,25.55,Apr-89
1989m05,27.19,27.63,24.53,May-89
1989m06,27.20,27.75,24.14,Jun-89
1989m07,27.15,27.38,24.09,Jul-89
1989m08,27.61,27.77,25.10,Aug-89
1989m09,28.91,31.43,26.94,Sep-89
1989m10,30.15,33.27,29.21,Oct-89
1989m11,30.86,35.10,30.28,Nov-89
1989m12,30.78,34.95,30.82,Dec-89
1990m01,30.41,31.83,31.08,Jan-90
1990m02,28.74,31.00,29.62,Feb-90
1990m03,25.62,28.63,28.59,Mar-90
1990m04,23.97,26.44,27.19,Apr-90
1990m05,23.59,25.44,25.23,May-90
1990m06,23.31,24.67,24.70,Jun-90
1990m07,23.34,24.10,24.69,Jul-90
1990m08,23.29,24.60,25.34,Aug-90
1990m09,24.08,27.25,27.08,Sep-90
1990m10,24.99,29.55,29.02,Oct-90
1990m11,25.77,29.85,29.95,Nov-90
1990m12,26.00,31.70,30.30,Dec-90
1991m01,25.41,29.64,30.33,Jan-91
1991m02,24.25,30.52,28.88,Feb-91
1991m03,22.73,32.78,28.00,Mar-91
1991m04,22.20,24.99,26.15,Apr-91
1991m05,22.44,23.52,23.66,May-91
1991m06,22.51,24.02,23.56,Jun-91
1991m07,22.40,24.57,23.69,Jul-91
1991m08,22.54,24.40,24.54,Aug-91
1991m09,24.57,26.71,26.41,Sep-91
1991m10,26.26,31.69,28.18,Oct-91
1991m11,26.73,32.88,29.70,Nov-91
1991m12,26.50,32.79,30.24,Dec-91
1992m01,26.19,30.88,30.14,Jan-92
1992m02,25.12,30.30,29.14,Feb-92
1992m03,24.36,28.37,28.11,Mar-92
1992m04,24.06,25.66,26.27,Apr-92
1992m05,24.17,25.16,24.45,May-92
1992m06,24.38,24.61,24.20,Jun-92
1992m07,24.54,24.53,24.34,Jul-92
1992m08,25.15,25.29,25.85,Aug-92
1992m09,27.05,30.00,28.44,Sep-92
1992m10,28.56,34.27,30.89,Oct-92
1992m11,29.40,34.44,31.84,Nov-92
1992m12,28.40,34.19,31.62,Dec-92
1993m01,28.41,33.66,31.19,Jan-93
1993m02,25.41,33.91,30.87,Feb-93
1993m03,25.47,30.22,29.96,Mar-93
1993m04,25.11,28.53,28.39,Apr-93
1993m05,25.31,25.95,26.78,May-93
1993m06,25.53,26.24,26.79,Jun-93
1993m07,25.45,26.28,26.96,Jul-93
1993m08,25.57,26.74,28.25,Aug-93
1993m09,26.92,28.84,30.69,Sep-93
1993m10,28.42,31.12,31.37,Oct-93
1993m11,29.29,33.73,31.59,Nov-93
1993m12,28.84,33.83,31.81,Dec-93
1994m01,29.14,32.11,30.96,Jan-94
1994m02,27.47,32.00,29.92,Feb-94
1994m03,25.94,29.12,28.35,Mar-94
1994m04,25.33,26.81,25.88,Apr-94
1994m05,25.57,25.47,25.85,May-94
1994m06,25.36,23.83,26.16,Jun-94
1994m07,25.22,24.71,27.57,Jul-94
1994m08,25.57,28.33,30.09,Aug-94
1994m09,27.11,29.64,32.04,Sep-94
1994m10,28.55,32.45,32.43,Oct-94
1994m11,28.96,33.57,32.39,Nov-94
1994m12,27.79,33.19,31.75,Dec-94
1995m01,28.23,33.30,31.26,Jan-95
1995m02,27.06,33.51,29.83,Feb-95
1995m03,25.41,31.38,28.62,Mar-95
1995m04,25.98,29.46,26.80,Apr-95
1995m05,26.70,27.27,26.35,May-95
1995m06,26.69,27.26,26.66,Jun-95
1995m07,26.49,27.86,28.22,Jul-95
1995m08,26.84,29.64,30.52,Aug-95
1995m09,28.41,30.96,32.26,Sep-95
1995m10,29.91,31.86,32.71,Oct-95
1995m11,30.62,33.82,33.53,Nov-95
1995m12,29.90,33.75,33.17,Dec-95
1996m01,29.68,33.61,31.97,Jan-96
1996m02,28.67,32.91,31.10,Feb-96
1996m03,27.71,29.50,29.34,Mar-96
1996m04,26.62,27.36,27.38,Apr-96
1996m05,27.14,27.23,27.39,May-96
1996m06,27.43,26.52,27.03,Jun-96
1996m07,27.45,26.52,28.94,Jul-96
1996m08,27.56,27.30,31.07,Aug-96
1996m09,29.16,29.17,32.44,Sep-96
1996m10,30.41,30.30,32.96,Oct-96
1996m11,31.81,32.53,33.03,Nov-96
1996m12,31.57,32.49,32.47,Dec-96
1997m01,30.27,32.42,31.61,Jan-97
1997m02,29.12,30.85,30.16,Feb-97
1997m03,27.46,28.70,28.19,Mar-97
1997m04,26.95,27.79,26.59,Apr-97
1997m05,26.49,26.56,26.82,May-97
1997m06,26.43,25.94,26.50,Jun-97
1997m07,27.21,25.56,28.13,Jul-97
1997m08,27.70,27.13,29.83,Aug-97
1997m09,29.60,30.26,31.38,Sep-97
1997m10,30.15,34.10,32.37,Oct-97
1997m11,31.25,34.56,32.85,Nov-97
1997m12,30.17,34.29,32.14,Dec-97
1998m01,29.21,33.34,31.56,Jan-98
1998m02,27.53,31.82,30.87,Feb-98
1998m03,26.05,29.08,28.95,Mar-98
1998m04,26.75,27.34,27.38,Apr-98
1998m05,27.08,26.62,27.18,May-98
1998m06,27.26,26.19,27.03,Jun-98
1998m07,27.33,26.30,29.04,Jul-98
1998m08,27.77,28.70,31.16,Aug-98
1998m09,29.29,32.07,32.50,Sep-98
1998m10,30.64,34.54,33.17,Oct-98
1998m11,30.51,34.66,33.28,Nov-98
1998m12,29.74,34.26,32.71,Dec-98
1999m01,28.43,32.05,31.83,Jan-99
1999m02,27.31,30.69,30.99,Feb-99
1999m03,25.89,28.01,29.18,Mar-99
1999m04,25.78,26.15,27.53,Apr-99
1999m05,25.62,23.23,27.45,May-99
1999m06,25.75,24.24,26.97,Jun-99
1999m07,25.83,24.81,28.49,Jul-99
1999m08,26.60,27.86,30.64,Aug-99
1999m09,27.79,29.62,31.55,Sep-99
1999m10,29.36,32.42,32.60,Oct-99
1999m11,29.52,33.66,32.99,Nov-99
1999m12,28.26,33.07,32.74,Dec-99
2000m01,26.91,32.05,32.31,Jan-00
2000m02,25.94,30.22,31.20,Feb-00
2000m03,25.24,28.93,29.55,Mar-00
2000m04,25.32,26.82,28.35,Apr-00
2000m05,25.48,26.10,27.88,May-00
2000m06,25.86,25.98,27.47,Jun-00
2000m07,26.55,27.14,30.05,Jul-00
2000m08,27.53,29.50,31.91,Aug-00
2000m09,29.43,31.66,32.79,Sep-00
2000m10,31.35,33.37,34.14,Oct-00
2000m11,30.99,35.05,34.36,Nov-00
2000m12,29.90,34.41,33.81,Dec-00
2001m01,29.03,33.07,33.75,Jan-01
2001m02,28.04,31.58,32.80,Feb-01
2001m03,27.19,30.07,31.03,Mar-01
2001m04,26.88,29.00,29.69,Apr-01
2001m05,27.54,28.68,29.59,May-01
2001m06,27.89,28.36,29.18,Jun-01
2001m07,28.12,30.04,31.17,Jul-01
2001m08,28.98,31.51,32.81,Aug-01
2001m09,30.16,34.16,34.15,Sep-01
2001m10,31.33,35.57,34.26,Oct-01
2001m11,31.59,36.42,34.78,Nov-01
2001m12,29.70,35.12,34.66,Dec-01
2002m01,28.39,33.14,33.57,Jan-02
2002m02,27.35,30.29,32.18,Feb-02
2002m03,25.99,28.20,30.54,Mar-02
2002m04,25.47,26.50,29.12,Apr-02
2002m05,25.57,25.47,29.41,May-02
2002m06,25.45,24.96,28.76,Jun-02
2002m07,25.38,25.60,30.17,Jul-02
2002m08,25.85,27.76,31.99,Aug-02
2002m09,27.22,30.13,32.89,Sep-02
2002m10,28.79,32.35,33.05,Oct-02
2002m11,29.46,32.80,32.93,Nov-02
2002m12,28.46,32.54,32.70,Dec-02
2003m01,28.10,29.78,32.83,Jan-03
2003m02,26.55,28.79,31.99,Feb-03
2003m03,25.42,26.80,30.03,Mar-03
2003m04,25.01,25.41,28.54,Apr-03
2003m05,25.22,24.34,28.70,May-03
2003m06,25.13,24.39,27.94,Jun-03
2003m07,25.13,25.00,29.53,Jul-03
2003m08,28.01,26.27,31.07,Aug-03
2003m09,29.35,27.88,32.73,Sep-03
2003m10,30.89,29.35,33.32,Oct-03
2003m11,31.92,29.83,33.39,Nov-03
2003m12,29.86,29.46,32.87,Dec-03
2004m01,29.35,30.86,31.91,Jan-04
2004m02,28.01,29.56,31.01,Feb-04
2004m03,27.70,28.36,29.71,Mar-04
2004m04,27.29,27.07,27.70,Apr-04
2004m05,27.49,26.44,27.77,May-04
2004m06,27.49,26.10,27.17,Jun-04
2004m07,27.80,26.61,29.06,Jul-04
2004m08,28.32,27.59,31.24,Aug-04
2004m09,30.07,29.61,32.16,Sep-04
2004m10,31.30,31.06,32.17,Oct-04
2004m11,31.50,31.48,32.32,Nov-04
2004m12,30.17,31.35,31.98,Dec-04
2005m01,29.45,29.44,32.16,Jan-05
2005m02,28.83,28.33,31.57,Feb-05
2005m03,27.80,27.75,29.98,Mar-05
2005m04,27.39,26.07,27.79,Apr-05
2005m05,27.18,25.84,27.35,May-05
2005m06,26.98,25.49,27.89,Jun-05
2005m07,26.88,25.47,29.47,Jul-05
2005m08,27.39,26.80,31.92,Aug-05
2005m09,28.32,27.78,32.61,Sep-05
2005m10,30.69,29.23,32.38,Oct-05
2005m11,30.48,29.60,32.29,Nov-05
2005m12,29.66,29.70,32.22,Dec-05
2006m01,28.11,28.35,30.84,Jan-06
2006m02,27.70,27.54,30.26,Feb-06
2006m03,26.98,26.73,28.46,Mar-06
2006m04,26.46,25.67,26.16,Apr-06
2006m05,26.46,25.38,26.17,May-06
2006m06,25.74,24.91,26.87,Jun-06
2006m07,25.30,24.86,28.35,Jul-06
2006m08,27.70,26.30,30.60,Aug-06
2006m09,27.70,27.60,31.45,Sep-06
2006m10,27.70,28.57,31.28,Oct-06
2006m11,27.70,29.27,31.27,Nov-06
2006m12,29.10,29.01,30.48,Dec-06
2007m01,28.30,28.10,30.44,Jan-07
2007m02,27.18,27.78,29.93,Feb-07
2007m03,25.64,27.51,28.42,Mar-07
2007m04,27.29,27.36,26.34,Apr-07
2007m05,29.76,28.63,26.28,May-07
2007m06,32.64,32.71,27.21,Jun-07
2007m07,34.50,35.85,30.86,Jul-07
2007m08,38.50,38.48,32.47,Aug-07
2007m09,42.30,40.57,33.65,Sep-07
2007m10,44.60,43.20,37.80,Oct-07
2007m11,45.40,43.20,37.97,Nov-07
2007m12,43.25,42.15,36.90,Dec-07
2008m01,41.09,39.50,40.93,Jan-08
2008m02,40.67,37.58,40.22,Feb-08
2008m03,39.64,36.32,38.51,Mar-08
2008m04,35.52,34.65,33.61,Apr-08
2008m05,34.29,32.43,33.46,May-08
2008m06,32.85,30.35,34.31,Jun-08
2008m07,33.57,30.06,35.90,Jul-08
2008m08,33.88,30.09,37.69,Aug-08
2008m09,33.26,29.46,38.77,Sep-08
2008m10,33.98,29.06,34.38,Oct-08
2008m11,33.98,27.65,34.21,Nov-08
2008m12,33.71,27.21,33.70,Dec-08
2009m01,27.60,24.99,35.90,Jan-09
2009m02,26.15,23.21,34.86,Feb-09
2009m03,22.45,21.95,32.04,Mar-09
2009m04,22.34,21.60,24.26,Apr-09
2009m05,22.14,20.91,26.90,May-09
2009m06,21.83,20.78,27.04,Jun-09
2009m07,22.04,21.11,28.81,Jul-09
2009m08,22.86,21.59,30.03,Aug-09
2009m09,25.02,23.48,31.02,Sep-09
2009m10,28.21,26.85,29.28,Oct-09
2009m11,28.63,28.69,29.11,Nov-09
2009m12,27.49,28.88,28.92,Dec-09
2010m01,27.08,27.96,30.99,Jan-10
2010m02,27.18,27.90,29.89,Feb-10
2010m03,26.98,28.40,28.40,Mar-10
