Data extracted on 04/12/2022 12:56:55 from [ESTAT],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset: ,Cows'milk collection and products obtained - annual data [APRO_MK_COLA],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last updated: ,30/11/2022 23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time frequency,,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dairy and other animal products (except meat),,Raw cows' milk delivered to dairies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of measure,,Thousand tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIME,1968,,1969,,1970,,1971,,1972,,1973,,1974,,1975,,1976,,1977,,1978,,1979,,1980,,1981,,1982,,1983,,1984,,1985,,1986,,1987,,1988,,1989,,1990,,1991,,1992,,1993,,1994,,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
GEO (Labels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
European Union - 27 countries (from 2020),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,"119,273.24",,:,c,:,c,:,c,:,c,:,c,:,c,:,c,"133,589.34",,"136,680.20",,"137,692.77",,"140,870.05",p,"142,194.31",,:,c,:,,:,c
European Union - 28 countries (2013-2020),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,"133,193.34",,:,c,:,c,:,c,:,c,:,c,:,c,:,c,"148,418.14",,"151,871.50",,"152,234.77",,"156,014.75",p,"157,382.42",,:,c,:,,:,
European Union - 27 countries (2007-2013),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,"132,542.83",,:,c,:,c,:,c,:,c,:,c,:,c,:,c,"147,895.45",,"151,358.07",,"151,745.11",,"155,537.96",p,"156,928.95",,:,c,:,,:,
European Union - 25 countries (2004-2006),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,"131,331.57",ep,"130,646.72",,:,c,:,c,:,c,:,c,:,c,:,c,:,c,"146,390.40",,"149,936.72",,"150,261.62",,"153,917.14",p,"155,170.84",,:,c,:,,:,
European Union - 15 countries (1995-2004),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,"112,919.03",,"113,341.66",,"113,155.21",,"113,405.30",,"114,680.16",,"114,141.39",,"114,667.28",,"114,644.32",,"115,224.13",,"114,089.61",,"114,509.83",ep,"113,846.09",,:,c,:,c,:,c,:,c,:,c,:,c,:,c,"127,372.84",,"130,442.79",,"130,205.30",,"133,139.90",p,"134,104.23",p,:,c,:,,:,
Belgium,"2,909.55",,"2,782.01",,"2,655.67",,"2,615.06",,"2,787.86",,"2,712.39",,"2,806.00",,"2,771.00",,"2,791.19",,"2,835.34",,"2,986.10",,"3,052.51",,"3,065.73",,"3,121.00",,"3,120.21",,"3,263.72",,"3,132.81",,"3,204.75",,"3,344.96",,"3,191.75",,"3,118.05",,"3,214.18",,"3,148.93",,"3,084.31",,"2,936.57",,"2,907.22",,"2,948.13",,"2,992.89",,"3,052.30",,"2,907.71",,"3,286.72",,"3,264.21",,"3,124.48",,"3,088.14",,"2,894.65",,"2,828.83",,"2,845.26",,"2,867.81",ep,"2,836.93",,"2,878.61",,"2,849.22",,"2,954.34",,"3,066.64",,"3,446.37",,"3,412.02",,"3,474.76",,"3,689.44",,"3,988.11",,"3,881.51",,"4,025.41",,"4,178.89",,"4,288.22",,"4,431.00",,"4,380.84",
Bulgaria,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,789.09,,757.87,,680.72,,578.81,,539.42,,499.11,,497.48,,494.63,,509.67,,505.40,,530.09,,592.49,,648.80,,658.77,,694.18,,679.06,
Czechia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,"2,565.71",,"2,545.65",,"2,392.58",,"2,445.52",,"2,432.55",,"2,353.55",,"2,316.87",,"2,366.20",,"2,446.13",,"2,382.13",,"2,414.15",,"2,500.39",,"2,793.20",b,"2,979.34",,"3,033.02",,"3,073.49",,"3,192.02",,"3,128.74",
Denmark,"4,767.03",,"4,522.18",,"4,280.34",,"4,206.46",,"4,435.46",,"4,529.40",,"4,617.90",,"4,718.40",,"4,845.00",,"4,938.50",,"5,123.73",,"5,025.20",,"4,916.80",,"4,838.90",,"5,016.70",,"5,226.80",,"5,033.50",,"4,898.60",,"4,910.60",,"4,659.60",,"4,539.10",,"4,547.30",,"4,542.00",,"4,439.90",,"4,402.00",,"4,460.20",,"4,442.20",,"4,476.20",,"4,495.20",,"4,431.80",,"4,467.60",,"4,455.20",,"4,519.80",,"4,417.80",,"4,454.40",,"4,540.10",,"4,433.80",,"4,449.00",,"4,492.10",,"4,514.60",,"4,585.60",,"4,740.60",,"4,817.50",,"4,786.70",,"4,915.70",,"5,025.40",,"5,112.60",,"5,277.60",,"5,376.29",,"5,494.18",,"5,615.21",,"5,614.69",,"5,666.50",,"5,643.85",
